sp1,sp2,cooc,dist,tr_0,tr_1,tr_2,tr_3,tr_4,tr_5,tr_6,tr_7,tr_8,tr_9,tr_10,tr_11,tr_12,tr_13,tr_14,tr_15,tr_16,tr_17,tr_18,tr_19,tr_20,tr_21,tr_22,tr_23
Aeshna.interrupta,Aeshna.eremita,0.405112694991177,6.569123786212225,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.5,3.0,0
Aeshna.tuberculifera,Aeshna.eremita,0.906114811964381,6.533092354872969,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.5,0.0,0
Aeshna.tuberculifera,Aeshna.interrupta,0.670215725258985,0.8410010088276767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0
Aeshna.umbrosa,Aeshna.eremita,0.906610866334143,5.500764447467484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.5,3.5,0
Aeshna.umbrosa,Aeshna.interrupta,0.652560538075441,3.364980044385302,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,0
Aeshna.umbrosa,Aeshna.tuberculifera,0.959478914584601,3.2586804479153972,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.5,0
Amphiagrion.saucium,Aeshna.eremita,0.959049448591316,5.680670664002143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0
Amphiagrion.saucium,Aeshna.interrupta,0.378836888267172,3.7968793457867713,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.5,0
Amphiagrion.saucium,Aeshna.tuberculifera,0.895195036253585,3.442497573499786,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0
Amphiagrion.saucium,Aeshna.umbrosa,0.895285206275815,1.1238201356638438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0
Argia.fumipennis,Aeshna.eremita,-0.239974847005497,5.752207954141277,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,7.0,0
Argia.fumipennis,Aeshna.interrupta,0.716460228145813,4.381225316416252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.5,4.0,0
Argia.fumipennis,Aeshna.tuberculifera,0.0849193924394426,4.891799047421847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.5,7.0,0
Argia.fumipennis,Aeshna.umbrosa,0.0708661093671071,6.259484794512607,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.5,3.5,0
