Aeshna.canadensis,Aeshna.constricta,Aeshna.eremita,Aeshna.interrupta,Aeshna.tuberculifera,Aeshna.umbrosa,Amphiagrion.saucium,Anax.junius,Argia.fumipennis,Argia.moesta,Arigomphus.furcifer,Basiaeschna.janata,Boyeria.grafiana,Boyeria.vinosa,Calopteryx.aequabilis,Calopteryx.amata,Calopteryx.maculata,Celithemis.elisa,Celithemis.eponina,Chromagrion.conditum,Coenagrion.resolutum,Cordulegaster.diastatops,Cordulegaster.maculata,Cordulia.shurtleffii,Didymops.transversa,Dorocordulia.libera,Dromogomphus.spinosus,Enallagma.annexum,Enallagma.aspersum,Enallagma.boreale,Enallagma.carunculatum,Enallagma.civile,Enallagma.ebrium,Enallagma.exsulans,Enallagma.geminatum,Enallagma.hageni,Enallagma.signatum,Enallagma.vernale,Enallagma.vesperum,Epitheca.canis,Epitheca.cynosura,Epitheca.princeps,Epitheca.spinigera,Erythemis.simplicicollis,Gomphus.adelphus,Gomphus.borealis,Gomphus.descriptus,Gomphus.exilis,Gomphus.quadricolor,Gomphus.spicatus,Hagenius.brevistylus,Helocordulia.uhleri,Ischnura.posita,Ischnura.verticalis,Ladona.julia,Lanthus.parvulus,Lestes.congener,Lestes.disjunctus,Lestes.dryas,Lestes.eurinus,Lestes.forcipatus,Lestes.inaequalis,Lestes.rectangularis,Lestes.unguiculatus,Lestes.vigilax,Leucorrhinia.frigida,Leucorrhinia.glacialis,Leucorrhinia.hudsonica,Leucorrhinia.intacta,Leucorrhinia.proxima,Libellula.incesta,Libellula.luctuosa,Libellula.pulchella,Libellula.quadrimaculata,Macromia.illinoiensis,Nehalennia.irene,Ophiogomphus.aspersus,Ophiogomphus.carolus,Ophiogomphus.mainensis,Pachydiplax.longipennis,Pantala.flavescens,Perithemis.tenera,Plathemis.lydia,Somatochlora.elongata,Somatochlora.walshii,Somatochlora.williamsoni,Stylogomphus.albistylus,Stylurus.scudderi,Stylurus.spiniceps,Sympetrum.costiferum,Sympetrum.internum,Sympetrum.obtrusum,Sympetrum.semicinctum,Sympetrum.vicinum,Tramea.lacerata
Aeshna.canadensis,1,0.999,1,1,1,1,0.166,0.998,0.84,0.134,0.425,0,0.164,0.038,0,0,0.009,0.98,0.973,0.247,0.436,0.002,0,0.498,0.014,0.559,0.015,0.714,0.997,0.304,0.714,0.988,0.908,0.105,0.998,0.989,0.919,0.043,0.849,0.081,0.127,0.821,0.186,0.996,0,0.002,0,0.004,0.015,0,0.001,0,1,1,0.28,0.002,1,1,0.443,0.947,1,0.97,1,0.9,1,0.951,0.88,0.144,0.918,0.278,0.999,0.994,0.975,0.523,0,0.946,0,0,0,1,0.995,0.967,0.743,0.66,0.788,0.864,0,0.12,0.039,0.982,1,1,1,1,0.995
Aeshna.constricta,0.999,1,0.902,1,1,1,0.005,0.159,0.468,0.151,0.002,0,0.977,0.824,0,0.001,0,0.322,0.922,0,0,0,0.025,0.001,0,0,0.135,0.117,0.837,0.003,0.939,0.972,0.011,0.176,0.721,0.044,0.388,0,0.453,0,0,0.032,0,0.174,0.005,0,0.001,0,0.003,0,0.074,0.006,0.262,0.13,0,0.53,1,1,0.457,0.166,1,0.13,0.998,0.931,0.977,0.024,0.073,0,0.004,0,0.538,0.056,0.019,0,0.031,0.011,0.064,0.099,0.113,0.892,1,0.83,0,0.83,0.669,0.248,0.041,0.821,0.723,0.989,1,0.999,1,1,0.752
Aeshna.eremita,1,0.902,1,0.984,0.987,0.887,0.452,1,0.829,0.065,0.776,0.004,0.045,0.009,0.003,0,0.013,0.993,0.962,0.703,0.801,0.108,0,0.821,0.213,0.876,0.02,0.865,0.998,0.654,0.521,0.96,0.969,0.064,1,0.991,0.961,0.225,0.894,0.507,0.56,0.944,0.576,0.999,0,0.198,0,0.096,0.092,0.076,0.006,0,1,1,0.782,0,0.995,1,0.461,0.98,0.997,0.993,0.999,0.786,0.999,0.987,0.965,0.612,0.978,0.729,0.998,0.995,0.994,0.869,0,0.98,0.001,0,0,1,0.921,0.97,0.907,0.511,0.762,0.925,0,0.039,0.018,0.918,0.999,0.999,0.982,1,0.995
Aeshna.interrupta,1,1,0.984,1,1,1,0.029,0.65,0.625,0.089,0.022,0,0.847,0.487,0,0,0.001,0.659,0.975,0.001,0.02,0,0,0.021,0,0.015,0.049,0.286,0.97,0.022,0.898,0.991,0.125,0.112,0.935,0.333,0.631,0.001,0.642,0.002,0.002,0.171,0.008,0.568,0,0,0,0,0.002,0,0.015,0.001,0.789,0.67,0.004,0.148,1,1,0.472,0.475,1,0.461,1,0.938,1,0.201,0.3,0.001,0.102,0.005,0.864,0.38,0.221,0.011,0.002,0.121,0.007,0.009,0.009,0.995,0.999,0.918,0.035,0.775,0.742,0.497,0.002,0.573,0.385,0.992,1,1,1,1,0.923
Aeshna.tuberculifera,1,1,0.987,1,1,1,0.035,0.613,0.561,0.07,0.025,0,0.827,0.508,0,0,0,0.632,0.97,0.004,0.018,0,0,0.031,0,0.026,0.057,0.304,0.955,0.031,0.894,0.988,0.149,0.078,0.917,0.312,0.602,0.002,0.625,0.003,0.001,0.187,0.01,0.538,0,0,0,0,0.002,0,0.017,0,0.738,0.61,0.005,0.204,1,1,0.474,0.473,1,0.428,1,0.938,0.998,0.217,0.302,0.005,0.13,0.013,0.842,0.372,0.233,0.02,0.005,0.144,0.008,0.016,0.014,0.986,0.998,0.912,0.051,0.788,0.744,0.466,0.006,0.58,0.421,0.991,1,1,1,1,0.904
Aeshna.umbrosa,1,1,0.887,1,1,1,0.009,0.127,0.407,0.136,0.001,0,0.983,0.838,0,0.003,0,0.285,0.917,0,0,0,0.038,0.002,0,0.002,0.145,0.109,0.831,0.002,0.94,0.967,0.002,0.177,0.679,0.042,0.37,0,0.429,0,0,0.022,0,0.149,0.006,0,0.001,0,0.002,0,0.085,0.003,0.244,0.108,0,0.587,1,0.999,0.45,0.158,1,0.101,1,0.927,0.969,0.021,0.07,0,0.004,0,0.512,0.044,0.017,0,0.033,0.007,0.088,0.121,0.128,0.88,0.999,0.827,0.001,0.829,0.674,0.237,0.046,0.837,0.72,0.987,1,0.997,1,1,0.726
Amphiagrion.saucium,0.166,0.005,0.452,0.029,0.035,0.009,1,0.925,0.665,0.701,0.999,0.962,0.02,0.085,0.92,0.827,0.952,0.843,0.192,0.999,0.996,0.991,0.625,0.997,0.994,0.996,0.655,0.936,0.447,0.996,0.058,0.157,0.991,0.672,0.594,0.97,0.761,0.99,0.711,0.998,0.998,0.982,0.996,0.925,0.829,0.996,0.839,0.988,0.971,0.989,0.726,0.789,0.888,0.935,0.997,0.211,0.046,0.147,0.539,0.914,0.077,0.935,0.159,0.139,0.239,0.985,0.957,0.998,0.989,0.997,0.738,0.967,0.979,0.997,0.744,0.987,0.668,0.571,0.52,0.51,0.023,0.357,0.996,0.175,0.43,0.864,0.722,0.088,0.147,0.063,0.097,0.139,0.032,0.084,0.529
Anax.junius,0.998,0.159,1,0.65,0.613,0.127,0.925,1,0.679,0.048,1,0.192,0,0,0.014,0,0.12,1,0.83,1,1,0.848,0,1,0.893,1,0.07,0.996,0.987,0.999,0.169,0.773,1,0.098,1,1,0.981,0.842,0.925,1,0.997,1,0.998,1,0.003,0.975,0.005,0.764,0.584,0.837,0.045,0,1,1,1,0,0.871,0.997,0.527,1,0.932,1,1,0.497,0.975,1,1,1,1,1,1,1,1,1,0.003,1,0.003,0,0,1,0.371,0.903,1,0.274,0.665,0.986,0.003,0.001,0.001,0.528,0.996,0.987,0.631,0.995,0.989
Argia.fumipennis,0.84,0.468,0.829,0.625,0.561,0.407,0.665,0.679,1,0.733,0.74,0.407,0.2,0.329,0.733,0.275,0.8,0.852,0.576,0.775,0.712,0.504,0.176,0.777,0.612,0.754,0.4,0.738,0.789,0.641,0.276,0.668,0.822,0.72,0.828,0.948,0.773,0.488,0.79,0.624,0.683,0.815,0.664,0.873,0.213,0.587,0.219,0.578,0.49,0.519,0.298,0.199,0.891,0.917,0.74,0.13,0.632,0.831,0.439,0.809,0.686,0.866,0.812,0.535,0.812,0.828,0.758,0.719,0.815,0.757,0.857,0.899,0.837,0.755,0.282,0.838,0.188,0.185,0.149,0.841,0.546,0.684,0.903,0.417,0.667,0.822,0.302,0.199,0.163,0.634,0.817,0.802,0.654,0.788,0.758
Argia.moesta,0.134,0.151,0.065,0.089,0.07,0.136,0.701,0.048,0.733,1,0.482,0.959,0.728,0.934,1,0.989,1,0.167,0.061,0.595,0.422,0.822,0.974,0.474,0.831,0.405,0.946,0.299,0.082,0.47,0.278,0.133,0.253,1,0.074,0.647,0.208,0.705,0.292,0.607,0.609,0.311,0.569,0.146,0.97,0.791,0.972,0.902,0.882,0.871,0.962,0.974,0.115,0.185,0.489,0.926,0.033,0.085,0.49,0.141,0.054,0.187,0.048,0.229,0.119,0.232,0.206,0.61,0.269,0.561,0.095,0.244,0.186,0.425,0.983,0.261,0.967,0.957,0.959,0.038,0.122,0.087,0.598,0.403,0.407,0.295,0.977,0.789,0.846,0.193,0.114,0.053,0.114,0.049,0.051
