Aeshna.canadensis,Aeshna.constricta,Aeshna.eremita,Aeshna.interrupta,Aeshna.tuberculifera,Aeshna.umbrosa,Amphiagrion.saucium,Anax.junius,Argia.fumipennis,Argia.moesta,Arigomphus.furcifer,Basiaeschna.janata,Boyeria.grafiana,Boyeria.vinosa,Calopteryx.aequabilis,Calopteryx.amata,Calopteryx.maculata,Celithemis.elisa,Celithemis.eponina,Chromagrion.conditum,Coenagrion.resolutum,Cordulegaster.diastatops,Cordulegaster.maculata,Cordulia.shurtleffii,Didymops.transversa,Dorocordulia.libera,Dromogomphus.spinosus,Enallagma.annexum,Enallagma.aspersum,Enallagma.boreale,Enallagma.carunculatum,Enallagma.civile,Enallagma.ebrium,Enallagma.exsulans,Enallagma.geminatum,Enallagma.hageni,Enallagma.signatum,Enallagma.vernale,Enallagma.vesperum,Epitheca.canis,Epitheca.cynosura,Epitheca.princeps,Epitheca.spinigera,Erythemis.simplicicollis,Gomphus.adelphus,Gomphus.borealis,Gomphus.descriptus,Gomphus.exilis,Gomphus.quadricolor,Gomphus.spicatus,Hagenius.brevistylus,Helocordulia.uhleri,Ischnura.posita,Ischnura.verticalis,Ladona.julia,Lanthus.parvulus,Lestes.congener,Lestes.disjunctus,Lestes.dryas,Lestes.eurinus,Lestes.forcipatus,Lestes.inaequalis,Lestes.rectangularis,Lestes.unguiculatus,Lestes.vigilax,Leucorrhinia.frigida,Leucorrhinia.glacialis,Leucorrhinia.hudsonica,Leucorrhinia.intacta,Leucorrhinia.proxima,Libellula.incesta,Libellula.luctuosa,Libellula.pulchella,Libellula.quadrimaculata,Macromia.illinoiensis,Nehalennia.irene,Ophiogomphus.aspersus,Ophiogomphus.carolus,Ophiogomphus.mainensis,Pachydiplax.longipennis,Pantala.flavescens,Perithemis.tenera,Plathemis.lydia,Somatochlora.elongata,Somatochlora.walshii,Somatochlora.williamsoni,Stylogomphus.albistylus,Stylurus.scudderi,Stylurus.spiniceps,Sympetrum.costiferum,Sympetrum.internum,Sympetrum.obtrusum,Sympetrum.semicinctum,Sympetrum.vicinum,Tramea.lacerata
Aeshna.canadensis,1,0.658686143036775,0.905878051614042,0.864091424075431,0.845234147716863,0.63554045613316,0,0.501255168332101,0,0,0,-0.899705148398085,0,-0.446841993334403,-0.804495378844841,-0.968072772156871,-0.594178330174049,0.548623913254861,0.814798139183976,0,0,-0.647232505330881,-0.942498869203921,0,-0.55495948026318,0,-0.824460316432992,0,0.866614959774661,0,0,0.847329641476481,0,0,0.812732072107903,0.347739386817033,0,-0.555278375291073,0,0,0,0,0,0.493815283574072,-0.971991044999631,-0.527617662291057,-0.97185671181131,-0.671769585840589,-0.733469940557831,-0.687094408983098,-0.901561646092034,-0.972071975950278,0.602261254855568,0.521678213961793,0,-0.686408230346957,0.91762401045897,0.98098958725911,0,0,0.941356453897485,0.415032543983005,0.979979146931917,0,0.945953630126474,0.274287775393702,0,0,0,0,0.729004871904959,0.386779113785884,0.302960584479184,0,-0.940214146984795,0,-0.92911587083721,-0.907199602323342,-0.905013146394697,0.893691203818379,0.73847564803918,0.797553615092086,0,0,0,0,-0.936275639301277,0,-0.521502325742384,0.767692165580528,0.972467227299547,0.973258704052027,0.865053293682494,0.972287737041569,0.810748771746063
Aeshna.constricta,0.658686143036775,1,0,0.906114811964381,0.906610866334143,0.959049448591316,-0.839367951429745,0,0,0,-0.725924937533149,-0.868415289391088,0.546524946990142,0,-0.676125020102882,-0.645446958678897,-0.634157557247795,0,0,-0.78316759762874,-0.722614546380178,-0.952143104116848,-0.464073011960894,-0.706486177422362,-0.938377333871273,-0.689750270690782,0,0,0,-0.77388575443699,0,0.715918300000095,-0.548284153384493,0,0,-0.367070134730418,0,-0.910713772538846,0,-0.863803588495584,-0.841066001021371,-0.542000024782358,-0.827259008925932,0,-0.658638761436133,-0.950398064119778,-0.680181766388609,-0.938711668344294,-0.91153594024385,-0.962333661681799,0,-0.613806375180047,0,0,-0.760880072452468,0,0.85663886611008,0.679875036438024,0,0,0.792184179979819,0,0.668741950664039,0,0.604704418888094,-0.491310154041029,0,-0.825985009280352,-0.557669769258307,-0.774960994466213,0,0,-0.468048027890446,-0.699935050556902,-0.571161195169465,-0.535179737681895,0,0,0,0,0.922670170364986,0,-0.634750472813457,0,0,0,-0.561946842137835,0,0,0.837645316432633,0.748131771440516,0.704323498135488,0.903696422392754,0.757748263587345,0
Aeshna.eremita,0.905878051614042,0,1,0.670215725258985,0.652560538075441,0,0,0.716460228145813,0,0,0,-0.732727199423669,-0.467107967495374,-0.669478670543916,-0.736380370978676,-0.911542824336115,-0.524075179580268,0.737783077987242,0.736908191657521,0,0,0,-0.953541726521647,0,0,0,-0.813599506105227,0,0.897881994918447,0,0,0.734879132442543,0.474451967958968,0,0.901987155669702,0.524774839952885,0.692230340170823,0,0,0,0,0,0,0.704059285184048,-0.907449345531994,0,-0.898250438732357,0,0,0,-0.862071381080792,-0.926698988587632,0.783323752356196,0.726052550985369,0,-0.838346019649776,0.760217860407152,0.900241868263073,0,0.658321767866572,0.815149853614696,0.639023902596109,0.907596190357819,0,0.894967336732643,0.5310646299565,0.549567164890688,0,0.46879919683789,0,0.861618913412718,0.620519620251145,0.556249115891027,0,-0.911063729930339,0.490915183698331,-0.926429312234946,-0.930685368410319,-0.943899149438092,0.946794115985594,0,0.781562187028925,0,0,0,0,-0.907867057723729,-0.605304398166269,-0.715218639288401,0,0.861449236117731,0.881985845138262,0.668270368394724,0.861707040536252,0.872576739256245
Aeshna.interrupta,0.864091424075431,0.906114811964381,0.670215725258985,1,0.959478914584601,0.895195036253585,-0.681117467098765,0,0,0,-0.472969658288268,-0.960892083262572,0,0,-0.805487800880364,-0.854816099069739,-0.685351322583148,0,0.778615574735421,-0.546047719561461,-0.465917075380201,-0.896210263877232,-0.726449588273326,-0.443613123309656,-0.843277065116336,-0.419186290755273,-0.679615760874758,0,0.644111462158732,-0.545633439207208,0,0.842072453145393,0,0,0,0,0,-0.828533695246294,0,-0.673091071377072,-0.633801943304759,0,-0.619722205708609,0,-0.863123360197368,-0.840508131837202,-0.875243019155506,-0.899572553390867,-0.911888683447866,-0.921452598398745,-0.775972397816885,-0.833096887084715,0,0,-0.511333651760455,0,0.962525252111308,0.879360652282874,0,0,0.93577121349356,0,0.871553867988618,0,0.81602885526975,0,0,-0.606865790350695,0,-0.533518183724746,0,0,0,-0.430509696187352,-0.794399808867735,0,-0.74054531709682,-0.680900268652206,-0.656275215416167,0.628675474592675,0.92066566434697,0,-0.35287339018994,0,0,0,-0.787455961092328,0,0,0.877724605238744,0.916905671691869,0.889190442511316,0.967972665265835,0.924781375202597,0
Aeshna.tuberculifera,0.845234147716863,0.906610866334143,0.652560538075441,0.959478914584601,1,0.895285206275815,-0.687563522804372,0,0,0,-0.483982869832373,-0.95219544298328,0,0,-0.808613523829773,-0.837826753837452,-0.699100373857658,0,0.770869532438719,-0.55695013541533,-0.478193844848348,-0.893591009642995,-0.707553650596298,-0.456115018098437,-0.84125955959552,-0.431680227576542,0,0,0.625242789149,-0.555851597679298,0,0.829734390819327,0,0,0,0,0,-0.828200155942029,0,-0.67904214399141,-0.642247874470479,0,-0.628787596395953,0,-0.846764182958128,-0.840915152350912,-0.859372125781487,-0.898751794990226,-0.908858547561196,-0.919232430319443,-0.761243611387717,-0.81738887607492,0,0,-0.522007719315592,0,0.951450099977088,0.859477830172924,0,0,0.921682357297405,0,0.854910833429134,0,0.795085890041628,0,0,-0.615804972107403,0,-0.544118244812357,0,0,0,-0.443315086809774,-0.778078623901192,0,-0.72133958515468,-0.659498484115691,-0.633579648609477,0.60932850451483,0.912429237275832,0,0,0,0,0,-0.769082084585594,0,0,0.867729732947819,0.901249420864772,0.873271391817623,0.958369076568545,0.908373994747669,0
Aeshna.umbrosa,0.63554045613316,0.959049448591316,0,0.895195036253585,0.895285206275815,1,-0.848470995483108,0,0,0,-0.742634312099721,-0.853231846527451,0.568017226098476,0,-0.669317802370965,-0.624170874931834,-0.637667900634723,0,0,-0.799457798098607,-0.74138342017022,-0.953119830845666,-0.43858347700067,-0.724814833893612,-0.939629206715721,-0.707842700283363,0,0,0,-0.787481942393326,0,0.69788444366519,-0.57013502088411,0,0,-0.399633427952486,0,-0.915516300544295,0,-0.874341586602648,-0.853526304894289,-0.563530726567538,-0.839567870554986,0,-0.636699048587695,-0.953796246518124,-0.657828654390981,-0.936814759045188,-0.904979259529712,-0.959215814770475,0,-0.591391971191154,0,0,-0.776597037384762,0,0.841937252347199,0.656926738426958,0,0,0.773920349175104,0,0.646612629157347,0,0.581650958374765,-0.514391056124652,0,-0.838807099885821,-0.579071112841617,-0.790537404913435,0,-0.41398109340893,-0.491724994217548,-0.718991953445959,-0.548622713490604,-0.558403557525142,0,0,0,0,0.917239172573354,0,-0.656087110567068,0,0,0,-0.540842238550757,0,0,0.824114401936667,0.726406558134101,0.682212218138001,0.894215151892925,0.738681251018421,0
Amphiagrion.saucium,0,-0.839367951429745,0,-0.681117467098765,-0.687563522804372,-0.848470995483108,1,0,0,0,0.843955552491455,0.620193438397014,-0.741489199978385,0,0,0,0.468814871370758,0,0,0.878919088683137,0.844115589082606,0.837800548805424,0,0.838143134915117,0.860482365933858,0.828836615192299,0,0,0,0.859257190146837,0,0,0.747652928039693,0,0,0.589585294016939,0,0.830432879054211,0,0.905619095403795,0.893942423093353,0.735380406008761,0.879531589631117,0,0,0.890287092803047,0,0.807108721844865,0.745346157110879,0.825580151603275,0,0,0,0,0.868887314761712,0,-0.595227283088958,0,0,0,0,0,0,0,0,0.706606315591063,0.666973200069337,0.890196713249282,0.753385948996548,0.871249066730172,0,0.637138774101038,0.694867166296226,0.841928712360544,0,0.740245204329791,0,0,0,0,-0.756000379336445,0,0.796255959460372,0,0,0,0,0,0,0,0,0,-0.679939808756658,0,0
Anax.junius,0.501255168332101,0,0.716460228145813,0,0,0,0,1,0,-0.366766800056486,0.787302007586609,0,-0.90305445296847,-0.948702351814658,-0.382458068577925,-0.533876951057417,0,0.916821897610466,0,0.741967940849961,0.799624791623438,0,-0.699176591370804,0.807406432349177,0,0.832810715241391,0,0.840854374625158,0.692349142705175,0.719118879156538,0,0,0.912085431863728,0,0.807445542642859,0.785270663666852,0.823317360068599,0,0,0.627997836709739,0.663532610738913,0.895146250947964,0.666817533230513,0.955450741623469,-0.510919923708325,0.405101200089224,-0.487396525633245,0,0,0,-0.531493644697649,-0.562214187108124,0.95320798786755,0.960181740967631,0.780312917441702,-0.918641321797835,0,0.484408832522605,0,0.940353229167128,0,0.939707503078599,0.505416174216975,0,0.525105916916217,0.930564975744679,0.920173812018574,0.694420440073161,0.911169963779799,0.751930131206816,0.885864033029591,0.949071210121247,0.942311034548009,0.830837491037229,-0.584698127567083,0.917801200270967,-0.645399355058942,-0.706818415718638,-0.744496078971743,0.777054741118361,0,0,0.834037370870284,0,0,0.838903679729355,-0.585736839876617,-0.899884974013833,-0.900375497573119,0,0.39358734839682,0.450205694957578,0,0.392444999446369,0.746539834387998
Argia.fumipennis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argia.moesta,0,0,0,0,0,0,0,-0.366766800056486,0,1,0,0.514895288107174,0,0,0.833522863134169,0.563086559513981,0.912061294868744,0,0,0,0,0,0.519291207317263,0,0,0,0,0,0,0,0,0,0,0.882736068336029,0,0,0,0,0,0,0,0,0,0,0.530911158432577,0,0.530921260125982,0,0,0,0.536573668006689,0.528158235915948,0,0,0,0,-0.520679542654041,0,0,0,0,0,-0.515647358260866,0,0,0,0,0,0,0,0,0,0,0,0.563208228446866,0,0.505284456401047,0.506615836118728,0.487228931033165,-0.49303500226249,0,0,0,0,0,0,0.555560715740202,0,0,0,0,0,0,-0.509390735757509,0
